chart_position,chart_date,song,performer,streams,spotify_uri,song_id,region,time_on_chart,consecutive_days,previous_day,peak_position,worst_position,chart_url
48,2020-10-02,04:30,Ufo361,1047,4SCM1b1vS70TtNQmO7Lo7B,04:30Ufo361,lu,1,,,48,48,https://www.spotifycharts.com/regional/lu/daily/2020-10-02
18,2021-05-14,1 0 0 . m i l ‘ (with Bas),J. Cole,1667,4n6NDfYake476trCjJRNl0,1 0 0 . m i l ‘ (with Bas)J. Cole,lu,1,,,18,18,https://www.spotifycharts.com/regional/lu/daily/2021-05-14
38,2019-11-02,1 Keer Voor Altijd,Mathias Vergels,1321,03SL74t9XXMAfki7bJPteK,1 Keer Voor AltijdMathias Vergels,lu,1,,,38,38,https://www.spotifycharts.com/regional/lu/daily/2019-11-02
45,2019-10-07,"10,000 Hours (with Justin Bieber)",Dan + Shay,1109,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)Dan + Shay",lu,1,,,45,45,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
55,2019-10-25,"10,000 Hours (with Justin Bieber)",Dan + Shay,1031,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)Dan + Shay",lu,2,,,45,55,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
55,2019-10-31,"10,000 Hours (with Justin Bieber)",Dan + Shay,1024,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)Dan + Shay",lu,3,,,45,55,https://www.spotifycharts.com/regional/lu/daily/2019-10-31
55,2021-09-03,10von10,Pajel,1148,1sa59Q9urE82MD3ELi44HN,10von10Pajel,lu,1,,,55,55,https://www.spotifycharts.com/regional/lu/daily/2021-09-03
46,2021-09-17,10von10,Pajel,1106,1sa59Q9urE82MD3ELi44HN,10von10Pajel,lu,2,,,46,55,https://www.spotifycharts.com/regional/lu/daily/2021-09-17
9,2019-10-07,110,Capital Bra,1944,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,1,,,9,9,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
12,2019-10-13,110,Capital Bra,1378,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,2,,,9,12,https://www.spotifycharts.com/regional/lu/daily/2019-10-13
31,2019-10-15,110,Capital Bra,1693,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,3,,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-15
28,2019-10-25,110,Capital Bra,2032,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,4,,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
30,2019-10-26,110,Capital Bra,1741,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,5,1.0,28.0,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-26
28,2019-10-30,110,Capital Bra,1700,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,6,1.0,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-30
29,2019-10-31,110,Capital Bra,1833,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,7,2.0,28.0,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-10-31
14,2019-11-02,110,Capital Bra,1528,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,8,2.0,,9,31,https://www.spotifycharts.com/regional/lu/daily/2019-11-02
35,2019-11-04,110,Capital Bra,1494,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,9,2.0,,9,35,https://www.spotifycharts.com/regional/lu/daily/2019-11-04
41,2019-11-05,110,Capital Bra,1626,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,10,3.0,35.0,9,41,https://www.spotifycharts.com/regional/lu/daily/2019-11-05
13,2019-11-08,110,Capital Bra,1809,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,11,3.0,,9,41,https://www.spotifycharts.com/regional/lu/daily/2019-11-08
34,2019-12-20,110,Capital Bra,1266,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,12,3.0,,9,41,https://www.spotifycharts.com/regional/lu/daily/2019-12-20
42,2019-12-21,110,Capital Bra,1173,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,13,4.0,34.0,9,42,https://www.spotifycharts.com/regional/lu/daily/2019-12-21
39,2019-12-23,110,Capital Bra,1196,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,14,4.0,,9,42,https://www.spotifycharts.com/regional/lu/daily/2019-12-23
139,2019-12-24,110,Capital Bra,1082,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,15,5.0,39.0,9,139,https://www.spotifycharts.com/regional/lu/daily/2019-12-24
45,2019-12-31,110,Capital Bra,1083,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,16,5.0,,9,139,https://www.spotifycharts.com/regional/lu/daily/2019-12-31
45,2020-01-17,110,Capital Bra,1169,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,17,5.0,,9,139,https://www.spotifycharts.com/regional/lu/daily/2020-01-17
53,2020-02-14,110,Capital Bra,1043,67ojvEGRPAUCOohuMPqoRC,110Capital Bra,lu,18,5.0,,9,139,https://www.spotifycharts.com/regional/lu/daily/2020-02-14
17,2020-09-11,187 Gang,Bonez MC,1768,3lHuDW8SiPtnIMmaTiDFVe,187 GangBonez MC,lu,1,,,17,17,https://www.spotifycharts.com/regional/lu/daily/2020-09-11
53,2021-03-19,2 Much,Justin Bieber,1122,0oaY19dUwZimIgzn3ZZLZO,2 MuchJustin Bieber,lu,1,,,53,53,https://www.spotifycharts.com/regional/lu/daily/2021-03-19
35,2019-10-25,200 km/h,Apache 207,1519,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,1,,,35,35,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
45,2019-10-26,200 km/h,Apache 207,1166,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,2,1.0,35.0,35,45,https://www.spotifycharts.com/regional/lu/daily/2019-10-26
52,2019-10-31,200 km/h,Apache 207,1041,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,3,1.0,,35,52,https://www.spotifycharts.com/regional/lu/daily/2019-10-31
69,2019-11-05,200 km/h,Apache 207,1013,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,4,1.0,,35,69,https://www.spotifycharts.com/regional/lu/daily/2019-11-05
44,2019-11-08,200 km/h,Apache 207,1077,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,5,1.0,,35,69,https://www.spotifycharts.com/regional/lu/daily/2019-11-08
51,2019-12-20,200 km/h,Apache 207,1001,2PGA1AsJal6cyMNmKyE56q,200 km/hApache 207,lu,6,1.0,,35,69,https://www.spotifycharts.com/regional/lu/daily/2019-12-20
94,2020-12-24,2000 Miles - 2007 Remaster,Pretenders,1962,5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 RemasterPretenders,lu,1,,,94,94,https://www.spotifycharts.com/regional/lu/daily/2020-12-24
94,2020-12-25,2000 Miles - 2007 Remaster,Pretenders,1208,5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 RemasterPretenders,lu,2,1.0,94.0,94,94,https://www.spotifycharts.com/regional/lu/daily/2020-12-25
42,2019-10-07,2002,Sido,1143,2u8AXJyk8pICzj2wyPBL0b,2002Sido,lu,1,,,42,42,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
49,2019-10-25,2002,Sido,1135,2u8AXJyk8pICzj2wyPBL0b,2002Sido,lu,2,,,42,49,https://www.spotifycharts.com/regional/lu/daily/2019-10-25
50,2020-07-03,2003,JURI,1260,2MNXZRtPBskqyHtNTdKFjA,2003JURI,lu,1,,,50,50,https://www.spotifycharts.com/regional/lu/daily/2020-07-03
64,2021-09-03,2055,Sleepy Hallow,1051,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,1,,,64,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-03
57,2021-09-04,2055,Sleepy Hallow,1001,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,2,1.0,64.0,57,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-04
30,2021-09-17,2055,Sleepy Hallow,1403,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,3,1.0,,30,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-17
24,2021-09-24,2055,Sleepy Hallow,1477,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,4,1.0,,24,64,https://www.spotifycharts.com/regional/lu/daily/2021-09-24
33,2021-10-22,2055,Sleepy Hallow,1199,4XvcHTUfIlWfyJTRG0aqlo,2055Sleepy Hallow,lu,5,1.0,,24,64,https://www.spotifycharts.com/regional/lu/daily/2021-10-22
32,2020-08-07,24 Stunden,Samra,1178,7LCElzlYw3myTHvC2MQWve,24 StundenSamra,lu,1,,,32,32,https://www.spotifycharts.com/regional/lu/daily/2020-08-07
20,2021-09-17,2CB,RAF Camora,1732,2r9gIpt17PhZv0y2nCpFHC,2CBRAF Camora,lu,1,,,20,20,https://www.spotifycharts.com/regional/lu/daily/2021-09-17
34,2021-09-24,2CB,RAF Camora,1265,2r9gIpt17PhZv0y2nCpFHC,2CBRAF Camora,lu,2,,,20,34,https://www.spotifycharts.com/regional/lu/daily/2021-09-24
2,2017-06-09,2U (feat. Justin Bieber),David Guetta,2112,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,1,,,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-09
2,2017-06-10,2U (feat. Justin Bieber),David Guetta,2392,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,2,1.0,2.0,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-10
2,2017-06-11,2U (feat. Justin Bieber),David Guetta,2260,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,3,2.0,2.0,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-11
2,2017-06-13,2U (feat. Justin Bieber),David Guetta,2446,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,4,2.0,,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-13
2,2017-06-15,2U (feat. Justin Bieber),David Guetta,2390,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,5,2.0,,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-15
2,2017-06-16,2U (feat. Justin Bieber),David Guetta,2320,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,6,3.0,2.0,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-16
2,2017-06-17,2U (feat. Justin Bieber),David Guetta,2191,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,7,4.0,2.0,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-17
2,2017-06-18,2U (feat. Justin Bieber),David Guetta,1999,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,8,5.0,2.0,2,2,https://www.spotifycharts.com/regional/lu/daily/2017-06-18
3,2017-06-19,2U (feat. Justin Bieber),David Guetta,2228,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,9,6.0,2.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-19
3,2017-06-20,2U (feat. Justin Bieber),David Guetta,2231,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,10,7.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-20
3,2017-06-21,2U (feat. Justin Bieber),David Guetta,2253,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,11,8.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-21
2,2017-06-22,2U (feat. Justin Bieber),David Guetta,2472,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,12,9.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-22
3,2017-06-23,2U (feat. Justin Bieber),David Guetta,2032,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,13,10.0,2.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-23
3,2017-06-24,2U (feat. Justin Bieber),David Guetta,2068,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,14,11.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-24
3,2017-06-25,2U (feat. Justin Bieber),David Guetta,1740,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,15,12.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-25
3,2017-06-26,2U (feat. Justin Bieber),David Guetta,1954,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,16,13.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-26
3,2017-06-27,2U (feat. Justin Bieber),David Guetta,1939,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,17,14.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-27
3,2017-06-30,2U (feat. Justin Bieber),David Guetta,2082,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,18,14.0,,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-06-30
3,2017-07-01,2U (feat. Justin Bieber),David Guetta,1959,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,19,15.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-07-01
3,2017-07-02,2U (feat. Justin Bieber),David Guetta,1633,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,20,16.0,3.0,2,3,https://www.spotifycharts.com/regional/lu/daily/2017-07-02
4,2017-07-03,2U (feat. Justin Bieber),David Guetta,1764,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,21,17.0,3.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-03
4,2017-07-04,2U (feat. Justin Bieber),David Guetta,1914,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,22,18.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-04
4,2017-07-05,2U (feat. Justin Bieber),David Guetta,1914,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,23,19.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-05
4,2017-07-06,2U (feat. Justin Bieber),David Guetta,1917,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,24,20.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-06
4,2017-07-07,2U (feat. Justin Bieber),David Guetta,2086,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,25,21.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-07
4,2017-07-08,2U (feat. Justin Bieber),David Guetta,1970,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,26,22.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-08
4,2017-07-09,2U (feat. Justin Bieber),David Guetta,1610,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,27,23.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-09
4,2017-07-10,2U (feat. Justin Bieber),David Guetta,1758,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,28,24.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-10
4,2017-07-11,2U (feat. Justin Bieber),David Guetta,1883,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,29,25.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-11
4,2017-07-12,2U (feat. Justin Bieber),David Guetta,1781,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,30,26.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-12
4,2017-07-13,2U (feat. Justin Bieber),David Guetta,2029,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,31,27.0,4.0,2,4,https://www.spotifycharts.com/regional/lu/daily/2017-07-13
5,2017-07-14,2U (feat. Justin Bieber),David Guetta,1880,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,32,28.0,4.0,2,5,https://www.spotifycharts.com/regional/lu/daily/2017-07-14
5,2017-07-15,2U (feat. Justin Bieber),David Guetta,1775,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,33,29.0,5.0,2,5,https://www.spotifycharts.com/regional/lu/daily/2017-07-15
5,2017-07-16,2U (feat. Justin Bieber),David Guetta,1702,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,34,30.0,5.0,2,5,https://www.spotifycharts.com/regional/lu/daily/2017-07-16
5,2017-07-17,2U (feat. Justin Bieber),David Guetta,1874,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,35,31.0,5.0,2,5,https://www.spotifycharts.com/regional/lu/daily/2017-07-17
5,2017-07-19,2U (feat. Justin Bieber),David Guetta,1794,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,36,31.0,,2,5,https://www.spotifycharts.com/regional/lu/daily/2017-07-19
7,2017-07-22,2U (feat. Justin Bieber),David Guetta,1501,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,37,31.0,,2,7,https://www.spotifycharts.com/regional/lu/daily/2017-07-22
10,2017-07-23,2U (feat. Justin Bieber),David Guetta,1125,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,38,32.0,7.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-23
6,2017-07-24,2U (feat. Justin Bieber),David Guetta,1451,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,39,33.0,10.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-24
5,2017-07-25,2U (feat. Justin Bieber),David Guetta,1495,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,40,34.0,6.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-25
5,2017-07-26,2U (feat. Justin Bieber),David Guetta,1573,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,41,35.0,5.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-26
5,2017-07-27,2U (feat. Justin Bieber),David Guetta,1560,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,42,36.0,5.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-27
5,2017-07-28,2U (feat. Justin Bieber),David Guetta,1688,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,43,37.0,5.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-28
6,2017-07-29,2U (feat. Justin Bieber),David Guetta,1622,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,44,38.0,5.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-29
5,2017-07-30,2U (feat. Justin Bieber),David Guetta,1434,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,45,39.0,6.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-30
4,2017-07-31,2U (feat. Justin Bieber),David Guetta,1559,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,46,40.0,5.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-07-31
4,2017-08-01,2U (feat. Justin Bieber),David Guetta,1566,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,47,41.0,4.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-01
4,2017-08-02,2U (feat. Justin Bieber),David Guetta,1686,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,48,42.0,4.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-02
4,2017-08-03,2U (feat. Justin Bieber),David Guetta,1540,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,49,43.0,4.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-03
4,2017-08-04,2U (feat. Justin Bieber),David Guetta,1714,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,50,44.0,4.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-04
5,2017-08-05,2U (feat. Justin Bieber),David Guetta,1681,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,51,45.0,4.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-05
5,2017-08-06,2U (feat. Justin Bieber),David Guetta,1572,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,52,46.0,5.0,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-06
8,2017-08-23,2U (feat. Justin Bieber),David Guetta,1414,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber)David Guetta,lu,53,46.0,,2,10,https://www.spotifycharts.com/regional/lu/daily/2017-08-23
30,2019-10-07,2gether,Boy Kiss Girl,1234,6c3juW7mCkPLSQUUXmwfMj,2getherBoy Kiss Girl,lu,1,,,30,30,https://www.spotifycharts.com/regional/lu/daily/2019-10-07
57,2021-09-03,2sad2disco,Apache 207,1124,3HJKVymmisbtzi3s0hFCG4,2sad2discoApache 207,lu,1,,,57,57,https://www.spotifycharts.com/regional/lu/daily/2021-09-03
35,2021-07-16,30 (feat. Bizzy Banks),Pop Smoke,1359,24YG5Z8Of1VHovrfXsbvCZ,30 (feat. Bizzy Banks)Pop Smoke,lu,1,,,35,35,https://www.spotifycharts.com/regional/lu/daily/2021-07-16
38,2021-03-05,31,Booba,1428,0vxkghkV5IMJOfUbZ7Ksul,31Booba,lu,1,,,38,38,https://www.spotifycharts.com/regional/lu/daily/2021-03-05
51,2020-12-04,34+35,Ariana Grande,1037,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,1,,,51,51,https://www.spotifycharts.com/regional/lu/daily/2020-12-04
60,2020-12-05,34+35,Ariana Grande,1002,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,2,1.0,51.0,51,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-05
57,2020-12-11,34+35,Ariana Grande,1063,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,3,1.0,,51,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-11
59,2020-12-12,34+35,Ariana Grande,1054,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,4,2.0,57.0,51,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-12
45,2020-12-17,34+35,Ariana Grande,1088,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,5,2.0,,45,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-17
56,2020-12-18,34+35,Ariana Grande,1069,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,6,3.0,45.0,45,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-18
56,2020-12-19,34+35,Ariana Grande,1090,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,7,4.0,56.0,45,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-19
58,2020-12-23,34+35,Ariana Grande,1032,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,8,4.0,,45,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-23
40,2020-12-31,34+35,Ariana Grande,1235,6Im9k8u9iIzKMrmV7BWtlF,34+35Ariana Grande,lu,9,4.0,,40,60,https://www.spotifycharts.com/regional/lu/daily/2020-12-31
8,2020-07-03,44 BullDog,Pop Smoke,2939,7sjFIZ1g5QLJLGja3k592K,44 BullDogPop Smoke,lu,1,,,8,8,https://www.spotifycharts.com/regional/lu/daily/2020-07-03
15,2020-07-04,44 BullDog,Pop Smoke,1894,7sjFIZ1g5QLJLGja3k592K,44 BullDogPop Smoke,lu,2,1.0,8.0,8,15,https://www.spotifycharts.com/regional/lu/daily/2020-07-04
17,2020-07-06,44 BullDog,Pop Smoke,1731,7sjFIZ1g5QLJLGja3k592K,44 BullDogPop Smoke,lu,3,1.0,,8,17,https://www.spotifycharts.com/regional/lu/daily/2020-07-06
51,2020-07-10,44 BullDog,Pop Smoke,1103,7sjFIZ1g5QLJLGja3k592K,44 BullDogPop Smoke,lu,4,1.0,,8,51,https://www.spotifycharts.com/regional/lu/daily/2020-07-10
44,2021-03-05,5G,Booba,1320,5HHdKznp8Dqp7nNNd5gEW0,5GBooba,lu,1,,,44,44,https://www.spotifycharts.com/regional/lu/daily/2021-03-05
20,2019-04-05,7 rings,Ariana Grande,1659,6ocbgoVGwYJhOv1GgI9NsF,7 ringsAriana Grande,lu,1,,,20,20,https://www.spotifycharts.com/regional/lu/daily/2019-04-05
20,2021-09-03,7am On Bridle Path,Drake,2389,42m3eP1JJhtzffal9B136J,7am On Bridle PathDrake,lu,1,,,20,20,https://www.spotifycharts.com/regional/lu/daily/2021-09-03
31,2021-09-04,7am On Bridle Path,Drake,1396,42m3eP1JJhtzffal9B136J,7am On Bridle PathDrake,lu,2,1.0,20.0,20,31,https://www.spotifycharts.com/regional/lu/daily/2021-09-04
146,2019-12-24,8 Days of Christmas,Destiny's Child,1032,3WrG9BpOPQWUus3FjA1Tny,8 Days of ChristmasDestiny's Child,lu,1,,,146,146,https://www.spotifycharts.com/regional/lu/daily/2019-12-24
7,2018-06-29,8 Out Of 10,Drake,2459,5fcM0StdQxMjzulVGhFkHN,8 Out Of 10Drake,lu,1,,,7,7,https://www.spotifycharts.com/regional/lu/daily/2018-06-29
14,2020-11-20,9 1 1 3 (feat. SCH),Zola,1773,0lit1XQsSQe7LKnzL6VMaF,9 1 1 3 (feat. SCH)Zola,lu,1,,,14,14,https://www.spotifycharts.com/regional/lu/daily/2020-11-20
17,2021-05-14,9 5 . s o u t h,J. Cole,1670,4GSBObGq3DuiKFlytKBbEw,9 5 . s o u t hJ. Cole,lu,1,,,17,17,https://www.spotifycharts.com/regional/lu/daily/2021-05-14
11,2019-04-05,91's,PNL,1979,4LAGHmHcSt0HHwXCJcFri6,91'sPNL,lu,1,,,11,11,https://www.spotifycharts.com/regional/lu/daily/2019-04-05
28,2020-09-18,911,Damso,1616,2chIkORxBLpPVgruGiMY8k,911Damso,lu,1,,,28,28,https://www.spotifycharts.com/regional/lu/daily/2020-09-18
15,2017-12-24,A Holly Jolly Christmas - Single Version,Burl Ives,2568,65Q2mv3UlVi9eO70OpsmSe,A Holly Jolly Christmas - Single VersionBurl Ives,lu,1,,,15,15,https://www.spotifycharts.com/regional/lu/daily/2017-12-24
